"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.233500110E-3,1.470724571E-2,-1.419840091E-2,-2.439633787E-2,3.182890143E-2
1.923150010E-2,1.096389480E-2,-5.630640266E-3,-2.410339236E-2,2.707184187E-2
2.923050011E-2,-3.736370802E-3,-1.531038601E-2,-2.365608037E-2,2.842496306E-2
3.922850010E-2,-5.367926694E-3,-1.921449881E-2,-2.635690928E-2,3.305598687E-2
4.922750010E-2,-6.175025180E-4,5.946161505E-4,-3.533823252E-2,3.534862876E-2
5.922550010E-2,8.062835298E-3,-1.467876795E-2,-2.680597544E-2,3.160752854E-2
6.922450010E-2,7.812793739E-3,-8.561027208E-3,-3.668660045E-2,3.847385587E-2
7.922250009E-2,1.820238233E-2,-6.193599226E-3,-3.428924203E-2,3.931207846E-2
8.922050009E-2,2.346721530E-2,-4.579265211E-3,-2.110961795E-2,3.189507538E-2
9.921950009E-2,2.414808702E-2,-1.767914789E-3,-2.903961182E-2,3.780945231E-2
1.092175001E-1,2.170270834E-2,-5.673900526E-3,-1.227096677E-2,2.556906963E-2
1.192165001E-1,2.021422651E-2,-1.302927755E-2,-2.199488640E-2,3.259067435E-2
1.292145001E-1,1.786952958E-2,-1.338738296E-3,-3.575689316E-2,3.999584623E-2
1.392135001E-1,-3.905574605E-3,2.237574114E-3,-2.781988263E-2,2.818166284E-2
1.492115001E-1,-1.446666934E-2,9.421234857E-4,-3.216260970E-2,3.527896797E-2
1.592095001E-1,-1.646685563E-2,-1.275332551E-4,-2.961965561E-2,3.388949096E-2
1.692085001E-1,-1.823483437E-2,-2.738689631E-4,-2.931910872E-2,3.452816713E-2
1.792065001E-1,1.152668931E-3,1.652094238E-3,-2.587860703E-2,2.595689433E-2
1.892055001E-1,8.648762852E-3,5.893993378E-3,-1.165876329E-2,1.566738709E-2
1.992035001E-1,2.297374684E-2,4.514644342E-3,-1.419937849E-2,2.738242880E-2
2.092025001E-1,2.700898346E-2,4.098806810E-4,-1.748843729E-2,3.217916451E-2
2.192005001E-1,2.430651002E-2,3.605648987E-3,-2.557806015E-2,3.546892013E-2
2.291985000E-1,1.924786448E-2,-2.202874543E-3,-2.706851542E-2,3.328719680E-2
2.391975001E-1,1.379500698E-2,2.446657754E-3,-2.362509012E-2,2.746694805E-2
2.491955000E-1,4.869341925E-3,1.237462694E-2,-1.898357034E-2,2.317795991E-2
2.591945000E-1,-1.215559389E-2,-1.061616819E-3,-2.766668558E-2,3.023790641E-2
2.691925000E-1,-1.328787066E-2,-8.835024079E-3,-1.674233258E-2,2.312857231E-2
2.791915000E-1,-5.091134124E-3,-1.645424757E-2,-1.181196034E-2,2.088502614E-2
2.891895000E-1,1.549753346E-2,-2.069829374E-2,-1.121729851E-2,2.818546953E-2
2.991875000E-1,2.867905788E-2,-1.056759976E-2,-1.361874998E-2,3.346091566E-2
3.091865000E-1,2.283136714E-2,-5.766021581E-3,-2.081199467E-2,3.142701788E-2
3.191845000E-1,3.028726146E-2,-7.479484174E-3,-2.560203373E-2,4.035746550E-2
3.291835000E-1,2.693490654E-2,-1.190566197E-3,-4.221397340E-2,5.008918235E-2
3.391815000E-1,7.165616602E-3,2.151208911E-3,-4.191050291E-2,4.257304329E-2
3.491805000E-1,-1.997555047E-3,6.287912987E-3,-2.813621700E-2,2.889939070E-2
3.591785000E-1,-6.668676361E-3,8.899919037E-3,-1.795913815E-2,2.112369396E-2
3.691765000E-1,-1.806299932E-2,2.173364377E-3,-5.388209224E-3,1.897441055E-2
3.791755000E-1,-7.385471910E-3,-9.941518279E-3,4.636842012E-3,1.322419317E-2
3.891735000E-1,-3.206722699E-3,-1.957261336E-2,1.436719358E-2,2.449053931E-2
3.991725000E-1,1.066524826E-2,-1.475312809E-2,-3.448103070E-3,1.852813330E-2
4.091705000E-1,2.165267810E-2,-1.208077694E-2,-2.260592043E-2,3.355311132E-2
4.191695000E-1,1.890682563E-2,-4.973787814E-3,-2.993891358E-2,3.575674995E-2
4.291675000E-1,1.330508340E-2,-1.155315709E-2,-2.844494998E-2,3.346066142E-2
4.391655000E-1,-3.727599978E-3,2.056383519E-3,-4.349159002E-3,6.085959152E-3
4.491645000E-1,-1.431168158E-2,4.498326955E-3,-5.706297755E-3,1.605057659E-2
4.591625000E-1,-2.641161729E-2,3.933549877E-3,-9.750816822E-3,2.842753544E-2
4.691615000E-1,-1.744487554E-2,1.839357714E-2,-4.538374901E-2,5.198395942E-2
4.791595000E-1,-2.855524309E-3,2.124222184E-2,-8.026765287E-2,8.307997415E-2
4.891585000E-1,1.407454044E-2,1.522354572E-2,-9.404544711E-2,9.630366117E-2
4.991565000E-1,3.082600929E-2,9.293747284E-3,-8.416949987E-2,9.011726414E-2
5.091545000E-1,5.313353900E-2,1.135640742E-2,-4.315069735E-2,6.938388601E-2
5.191535000E-1,5.526503183E-2,-2.523402460E-3,2.690186977E-2,6.151667986E-2
5.291515000E-1,6.706277613E-2,-2.138885904E-2,5.923697233E-2,9.199955502E-2
5.391505000E-1,6.426217910E-2,-2.996388302E-2,2.406070769E-2,7.487576112E-2
5.491485000E-1,5.805539623E-2,-3.213824325E-2,-3.012485504E-2,7.287525370E-2
5.591475000E-1,4.201882258E-2,-2.958537631E-2,-5.975678980E-2,7.881465517E-2
5.691455000E-1,9.250185527E-3,-1.384431546E-2,-8.878295302E-2,9.033074643E-2
5.791435002E-1,-3.176065017E-2,1.837186022E-2,-7.245635748E-2,8.121691872E-2
5.891425002E-1,-5.566421393E-2,3.325137952E-2,-1.737032354E-2,6.712590478E-2
5.991405002E-1,-6.743900791E-2,3.343830770E-2,1.855087638E-2,7.752596484E-2
6.091395002E-1,-6.997615132E-2,2.437880536E-2,3.680120587E-2,8.273642885E-2
6.191375002E-1,-3.934799720E-2,8.736471087E-4,2.586632788E-2,4.709665658E-2
6.291365002E-1,-9.495695494E-3,-3.632202655E-2,-5.577659011E-3,3.795481690E-2
6.391345002E-1,2.698208626E-2,-4.507304259E-2,-3.207840979E-2,6.155190104E-2
6.491325002E-1,3.753978230E-2,-4.376303787E-2,-4.959432900E-2,7.605285141E-2
6.591315002E-1,3.367064316E-2,-2.558766237E-2,-4.435288489E-2,6.128310595E-2
6.691295002E-1,3.766056385E-2,-1.662007095E-2,-1.740891516E-2,4.469468822E-2
6.791285002E-1,2.219047576E-2,1.156241214E-3,-1.411459386E-2,2.632443481E-2
6.891265002E-1,1.308771316E-2,1.776730380E-2,4.444468617E-3,2.251041140E-2
6.991255002E-1,1.319040488E-2,9.672053000E-3,-1.321821570E-2,2.102989816E-2
7.091235002E-1,1.980338652E-2,4.188223528E-3,-3.926171422E-2,4.417236169E-2
7.191215002E-1,2.584264666E-2,-2.003237810E-3,-6.021521151E-2,6.555705184E-2
7.291205002E-1,2.566814382E-2,-1.127456468E-2,-4.913181424E-2,5.656769914E-2
7.391185001E-1,4.051345691E-2,-1.728875488E-2,-4.163860738E-2,6.061365243E-2
7.491175001E-1,3.087311592E-2,-2.169241176E-2,-1.124536514E-2,3.937217611E-2
7.591155001E-1,1.790742684E-2,-2.051174928E-2,-6.755872965E-3,2.805440454E-2
7.691145001E-1,3.676473387E-3,-1.461844113E-2,-2.635632455E-2,3.036233063E-2
7.791125001E-1,-1.980057254E-2,-1.571042692E-2,-1.197509766E-2,2.796932518E-2
7.891105001E-1,-4.167665083E-2,6.070414837E-3,2.005770385E-2,4.664873679E-2
7.991095001E-1,-4.795904551E-2,-6.488509029E-3,2.140373290E-2,5.291777185E-2
8.091075001E-1,-4.655852772E-2,-1.109842644E-2,-1.812461436E-2,5.117981261E-2
8.191065001E-1,-2.983088627E-2,-7.227377817E-3,-3.849514425E-2,4.923406236E-2
8.291045001E-1,-8.203570470E-3,-1.486998104E-2,-1.545419097E-2,2.296185800E-2
8.391035001E-1,1.008224431E-2,-3.988997927E-3,-6.186354160E-3,1.248337826E-2
8.491015001E-1,4.021225221E-2,-6.253633685E-3,-7.089164257E-3,4.130846659E-2
8.590995001E-1,6.144323643E-2,4.622927466E-3,-3.523356736E-2,7.097920139E-2
8.690985001E-1,5.725231770E-2,1.604068497E-2,-8.463493824E-2,1.034321238E-1
8.790966668E-1,6.113450345E-2,1.037731857E-2,-1.019918132E-1,1.193626667E-1
8.890956668E-1,3.963319514E-2,-3.994753780E-3,-8.536700964E-2,9.420336804E-2
8.990936668E-1,1.651304863E-2,-9.098002603E-3,-3.057509065E-2,3.592061518E-2
9.090926668E-1,2.144722156E-3,-2.310552847E-2,1.928236306E-2,3.017076074E-2
9.190906668E-1,-1.132971123E-3,-1.336910128E-2,3.784844220E-2,4.015620835E-2
9.290886668E-1,9.695414454E-4,6.651801663E-3,2.138560653E-2,2.241719524E-2
9.390876668E-1,1.123082019E-2,2.878406108E-2,-2.905598402E-2,4.241348491E-2
9.490856668E-1,1.664603624E-2,3.439745206E-2,-5.884403944E-2,7.016335375E-2
9.590846668E-1,1.361155059E-2,2.716456507E-2,-7.829714119E-2,8.398589301E-2
9.690826668E-1,7.060403265E-3,1.495293841E-2,-7.140853643E-2,7.329814961E-2
9.790806668E-1,-1.513018213E-2,2.024351740E-3,-4.057324469E-2,4.334983963E-2
9.890796668E-1,-3.058784489E-2,2.215948552E-3,-9.146214724E-3,3.200281123E-2
9.990776668E-1,-3.862838767E-2,9.914036365E-3,3.186381698E-2,5.104648160E-2
1.009076667E0,-3.219590228E-2,1.388707322E-2,3.050960183E-2,4.647862660E-2
1.019074667E0,-1.135606024E-2,2.705979028E-2,4.010605216E-3,2.961886744E-2
1.029073667E0,1.886304460E-2,2.587012857E-2,-3.267131746E-2,4.574377541E-2
1.039071667E0,5.065022651E-2,5.937646497E-3,-6.785693765E-2,8.488383284E-2
1.049069667E0,6.089250181E-2,-1.121072953E-2,-8.671654701E-2,1.065520378E-1
1.059068667E0,5.442197297E-2,-1.378556008E-2,-7.294226110E-2,9.204545759E-2
1.069066667E0,3.954614472E-2,-1.866950177E-2,-3.926229894E-2,5.877053663E-2
