"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.405833755E-4,8.187196439E-2,-5.521336163E-2,7.113196313E-2,1.217016435E-1
9.856416844E-3,-4.862522610E-2,-2.761495143E-2,6.888604760E-2,8.872590213E-2
1.985441684E-2,-7.080311207E-2,-4.574354463E-3,4.737881899E-2,8.531563682E-2
2.985241683E-2,3.513488646E-2,-4.842357938E-3,-6.936844289E-2,7.790949587E-2
3.985041683E-2,4.880730291E-2,-3.345891457E-2,-1.140049177E-1,1.284475498E-1
4.984841682E-2,-1.829590123E-2,-2.542267039E-2,1.007878715E-1,1.055426322E-1
5.984641681E-2,-2.513775568E-2,-1.560329497E-2,1.819267595E-1,1.843168885E-1
6.984341680E-2,3.122688160E-2,1.582078398E-3,4.735016763E-2,5.674204333E-2
7.984141679E-2,1.768906988E-2,-5.566270645E-3,-1.200176096E-1,1.214418098E-1
8.983941679E-2,-1.712397303E-2,-3.005350987E-2,-1.403887242E-1,1.445871287E-1
9.983741678E-2,-3.013600130E-3,-2.891796232E-2,-2.559501708E-2,3.873545185E-2
1.098354168E-1,1.520893682E-2,-2.352137970E-2,5.671331406E-2,6.325319797E-2
1.198324168E-1,1.654979016E-2,-1.092788874E-2,6.582619965E-2,6.874883902E-2
1.298304168E-1,-4.638121091E-4,-1.303269908E-2,-7.082732320E-3,1.484019758E-2
1.398284168E-1,-1.297319453E-2,-2.165161829E-2,-4.316005290E-2,4.999886516E-2
1.498264167E-1,-1.839370505E-2,-2.164213027E-2,-5.063396394E-2,5.805608058E-2
1.598244167E-1,-1.404398873E-2,-2.622430539E-3,-1.184879780E-2,1.856083971E-2
1.698224167E-1,7.106075501E-3,-6.356293433E-3,-7.648158073E-4,9.564712147E-3
1.798194167E-1,1.386093434E-2,-1.488190387E-2,-2.277432024E-2,3.053303500E-2
1.898174167E-1,7.191088535E-3,3.096100688E-3,-3.101480126E-2,3.198773970E-2
1.998154167E-1,4.410079680E-5,-1.210673310E-2,-6.619340479E-2,6.729146877E-2
2.098134167E-1,1.803610213E-3,-4.777641138E-3,-2.442791283E-2,2.495599707E-2
2.198114167E-1,1.847811509E-3,-1.455449634E-3,-2.721878886E-3,3.597410969E-3
2.298084167E-1,8.013974503E-3,-2.339365915E-3,7.004964352E-3,1.089797898E-2
2.398064167E-1,6.579031236E-3,-1.002641711E-2,-3.610480249E-2,3.804430910E-2
2.498044167E-1,-1.100377464E-2,-5.196438823E-4,-1.353425771E-1,1.357901552E-1
2.598024167E-1,-1.366502521E-2,-2.368632143E-2,-1.503061867E-1,1.527734417E-1
2.698004167E-1,8.516688868E-3,-1.871845393E-2,-1.993315816E-2,2.863992494E-2
