"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.531604165E-2,-5.278937554E-2,9.329431287E-3,-5.234427452E-3,5.386237730E-2
2.531404168E-2,-5.126893502E-2,-1.049883102E-2,-1.826026976E-2,5.542712876E-2
3.531204167E-2,-5.648229422E-2,-1.322779737E-2,-2.454953492E-2,6.299129978E-2
4.531104167E-2,-6.398681179E-2,-1.892795555E-2,-4.101587892E-2,7.832548696E-2
5.530904167E-2,-6.073044257E-2,-3.089645910E-3,-2.380226076E-2,6.530145622E-2
6.530704166E-2,-7.003908198E-2,-7.417056011E-3,2.694163084E-2,7.540780594E-2
7.530604166E-2,-6.783707539E-2,-3.121738901E-2,-1.497588873E-2,7.616213900E-2
8.530404166E-2,-4.292462938E-2,-1.220526097E-2,-4.895698249E-2,6.624408153E-2
9.530204168E-2,-4.962698204E-2,-1.189428959E-2,-3.009620368E-2,5.924603740E-2
1.053010417E-1,-5.394551625E-2,-3.118253869E-3,-3.099784434E-2,6.229533357E-2
1.152990417E-1,-4.437165080E-2,1.631215795E-2,-2.905481458E-2,5.548974807E-2
1.252970417E-1,-6.207363937E-2,-7.500065917E-3,2.225450277E-3,6.256468910E-2
1.352950417E-1,-6.553657975E-2,4.508660082E-3,-2.382389545E-2,6.987810312E-2
1.452940417E-1,-6.866504112E-2,-2.402305710E-3,-2.382681906E-2,7.272122284E-2
1.552920417E-1,-6.730673293E-2,7.560559474E-3,-2.337775290E-2,7.165108295E-2
1.652900417E-1,-6.849059310E-2,3.179861139E-2,-2.741876364E-2,8.033617883E-2
1.752890417E-1,-7.200891757E-2,1.113425206E-2,-1.379592061E-2,7.415917478E-2
1.852870417E-1,-6.335304670E-2,3.541674509E-3,-1.918179095E-2,6.628795583E-2
1.952850417E-1,-4.661551980E-2,9.255388635E-4,-3.893777847E-2,6.074548461E-2
2.052840417E-1,-4.741879933E-2,5.081810555E-3,-2.052080333E-2,5.191792270E-2
2.152820417E-1,-5.331957182E-2,8.708112091E-3,-1.078928232E-2,5.509279960E-2
2.252800417E-1,-4.904304620E-2,1.970188936E-2,-1.213414192E-2,5.422750432E-2
2.352780417E-1,-5.132298522E-2,6.315906532E-4,-6.592735648E-3,5.174854473E-2
2.452770417E-1,-6.679360321E-2,1.232935670E-3,-2.096051395E-2,7.001606034E-2
2.552750417E-1,-6.403887028E-2,1.371255211E-2,-3.053942263E-2,7.226110521E-2
2.652730417E-1,-7.253408890E-2,9.837746189E-3,-3.053825319E-2,7.931305196E-2
2.752720417E-1,-6.088857321E-2,1.339497292E-2,-2.694630861E-2,6.791868075E-2
2.852700417E-1,-5.598279582E-2,-8.786355145E-5,-1.571731567E-2,5.814735729E-2
2.952686667E-1,-5.966301508E-2,9.807630745E-4,-1.930867553E-2,6.271731990E-2
3.052676667E-1,-4.762109471E-2,-8.993337443E-4,-3.098322630E-2,5.682022329E-2
3.152656667E-1,-4.918467673E-2,-1.614418983E-2,-2.184695184E-2,5.618769077E-2
3.252636667E-1,-5.779457387E-2,-1.528173465E-2,7.607227564E-4,5.978564110E-2
3.352616667E-1,-5.187693581E-2,-2.690783119E-2,-9.865422249E-3,5.926697567E-2
3.452606667E-1,-5.612943303E-2,-1.541237196E-2,-6.269969344E-3,5.854371851E-2
3.552586667E-1,-6.448152278E-2,-2.127285120E-2,-1.749603868E-2,7.011784614E-2
3.652566667E-1,-6.141350700E-2,-1.613763912E-2,-4.129537582E-2,7.574529888E-2
3.752556667E-1,-5.139591096E-2,-4.496645881E-4,-3.905121446E-2,6.455028437E-2
3.852536667E-1,-6.101852758E-2,-9.403455667E-3,-2.094004869E-2,6.519333805E-2
3.952516667E-1,-6.029128013E-2,-2.317856841E-3,-1.524953842E-2,6.223310487E-2
4.052506667E-1,-5.966504334E-2,1.520274928E-2,-2.138560653E-2,6.517963753E-2
4.152486667E-1,-5.221110418E-2,8.716983413E-3,-2.542778671E-2,5.872442028E-2
4.252466667E-1,-4.903847806E-2,2.266499102E-2,-2.243342757E-2,5.849557950E-2
4.352446667E-1,-5.466910919E-2,2.711216169E-2,-1.330124617E-2,6.245561593E-2
4.452436667E-1,-5.600331590E-2,2.450011452E-2,-1.988345683E-2,6.428047027E-2
4.552416667E-1,-4.135662541E-2,4.148472968E-2,-3.694153905E-2,6.925337948E-2
4.652396667E-1,-4.984955996E-2,2.656162349E-2,-1.613012910E-2,5.874248493E-2
4.752386667E-1,-5.836228369E-2,1.750360579E-2,-1.792230070E-2,6.351174093E-2
4.852366667E-1,-5.908280684E-2,1.588045756E-2,-2.315672815E-2,6.541560253E-2
4.952346667E-1,-6.788714217E-2,2.563700282E-3,-1.656983972E-2,6.992707787E-2
5.052326667E-1,-6.456696521E-2,6.631297579E-3,-2.510209680E-2,6.959153949E-2
5.152316667E-1,-6.455210963E-2,-1.518034485E-2,-8.186686635E-3,6.681646179E-2
5.252296667E-1,-5.705607053E-2,-3.377819081E-2,-2.659781456E-2,7.144092033E-2
5.352276667E-1,-5.422305800E-2,-1.800362039E-2,-2.240653038E-2,6.137037534E-2
5.452266667E-1,-4.997390466E-2,-2.551468181E-2,-1.611843467E-2,5.837974024E-2
5.552246667E-1,-4.771570997E-2,-1.257226968E-2,-4.139828682E-3,4.951756380E-2
5.652226667E-1,-4.053004839E-2,-1.094651989E-2,-2.794033527E-2,5.042988653E-2
5.752216667E-1,-4.704185491E-2,-2.945470474E-2,-3.692048907E-2,6.666062000E-2
5.852196667E-1,-6.111082222E-2,-1.349983908E-2,-2.943312943E-2,6.915986810E-2
5.952176667E-1,-6.602209965E-2,-1.134596923E-2,-7.275690436E-3,6.738385809E-2
6.052156667E-1,-5.857431835E-2,3.725870939E-3,-1.520334542E-2,6.062981606E-2
6.152146667E-1,-6.298328340E-2,8.591058142E-3,-3.735552192E-2,7.373015181E-2
6.252126667E-1,-5.779859383E-2,1.043801084E-2,-4.064984322E-2,7.142856062E-2
